"Monthly Climate Statistics for 'SYDNEY (OBSERVATORY HILL)' [066062]"
"Created on [ 25 May 2016 14:48:53 GMT+00:00]"

"066062 SYDNEY (OBSERVATORY HILL)"
"Commenced: 1858"
"Last Record: 2016"
"Latitude:   33.86 Degrees South"
"Longitude:  151.21 Degrees East"
"Elevation:      39 m"
"State: NSW"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (Degrees C) for years 1859 to 2016 ",25.9,25.8,24.8,22.4,19.5,17.0,16.3,17.8,20.0,22.1,23.6,25.2,21.7,157,1859,2016
"Highest temperature (Degrees C) for years 1859 to 2016 ",45.8,42.1,39.8,33.9,30.0,26.9,25.9,31.3,34.6,38.2,41.8,42.2,45.8,157,1859,2016
"Date of Highest temperature for years 1859 to 2016 ",18 Jan  2013,08 Feb  1926,09 Mar  1983,05 Apr  1986,01 May  1919,11 Jun  1931,24 Jul  1990,26 Aug  1995,26 Sep  1965,13 Oct  2004,25 Nov  1982,20 Dec  1957,18 Jan  2013,N/A,1859,2016
"Lowest maximum temperature (Degrees C) for years 1859 to 2016 ",17.2,15.6,16.2,13.8,11.3,9.7,7.7,9.1,9.5,12.1,12.6,15.2,7.7,157,1859,2016
"Date of Lowest maximum temperature for years 1859 to 2016 ",14 Jan  1948,28 Feb  1863,13 Mar  1886,22 Apr  1927,24 May  1904,13 Jun  1899,19 Jul  1868,09 Aug  1872,08 Sep  1869,02 Oct  1871,16 Nov  1988,24 Dec  1870,19 Jul  1868,N/A,1859,2016
"Decile 1 maximum temperature (Degrees C) for years 1859 to 2015 ",22.1,22.1,21.2,18.9,16.2,14.0,13.3,14.4,16.0,17.6,19.3,21.1, ,158,1859,2015
"Decile 9 maximum temperature (Degrees C) for years 1859 to 2015 ",30.0,29.4,28.1,26.1,22.9,20.0,19.4,21.6,25.1,27.8,28.9,30.1, ,158,1859,2015
"Mean number of days >= 30 Degrees C for years 1859 to 2016 ",3.1,2.3,1.6,0.4,0.0,0.0,0.0,0.0,0.4,1.6,2.3,3.2,14.9,157,1859,2016
"Mean number of days >= 35 Degrees C for years 1859 to 2016 ",0.8,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.8,3.1,157,1859,2016
"Mean number of days >= 40 Degrees C for years 1859 to 2016 ",0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,157,1859,2016
"Mean minimum temperature (Degrees C) for years 1859 to 2016 ",18.7,18.8,17.6,14.7,11.6,9.3,8.1,9.0,11.1,13.6,15.7,17.5,13.8,157,1859,2016
"Lowest temperature (Degrees C) for years 1859 to 2016 ",10.6,9.6,9.3,7.0,4.4,2.1,2.2,2.7,4.9,5.7,7.7,9.1,2.1,157,1859,2016
"Date of Lowest temperature for years 1859 to 2016 ",18 Jan  1949,28 Feb  1863,14 Mar  1886,27 Apr  1864,30 May  1862,22 Jun  1932,12 Jul  1890,03 Aug  1872,02 Sep  1945,06 Oct  1927,01 Nov  1905,03 Dec  1924,22 Jun  1932,N/A,1859,2016
"Highest minimum temperature (Degrees C) for years 1859 to 2016 ",26.2,27.6,25.4,24.3,20.8,18.4,18.1,19.7,22.0,25.6,24.8,26.3,27.6,157,1859,2016
